fpath,gender,masterCategory,baseColour,subCategory,articleType,labels,id,season,usage,fname
training_img/40435.jpg,Women,Apparel,White,Topwear,Other,Women;Apparel;Topwear;Tops;White;Summer;Casual,,,,
training_img/18612.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Fall;Sports,,,,
training_img/21998.jpg,Women,Accessories,Blue,Bags,Other,Women;Accessories;Bags;Handbags;Blue;Winter;Casual,,,,
training_img/25235.jpg,Women,Accessories,Blue,Bags,Other,Women;Accessories;Bags;Backpacks;Blue;Winter;Casual,,,,
training_img/8078.jpg,Men,Footwear,Blue,Sandal,Other,Men;Footwear;Sandal;Sandals;Blue;Fall;Casual,,,,
training_img/45029.jpg,Men,Accessories,Black,Watches,Other,Men;Accessories;Watches;Watches;Black;Winter;Casual,,,,
training_img/52323.jpg,Women,Accessories,White,Jewellery,Other,Women;Accessories;Jewellery;Bangle;White;Winter;Casual,,,,
training_img/18991.jpg,Men,Apparel,Black,Topwear,Other,Men;Apparel;Topwear;Tshirts;Black;Summer;Casual,,,,
training_img/7066.jpg,Unisex,Accessories,Black,Bags,Other,Unisex;Accessories;Bags;Backpacks;Black;Summer;Sports,,,,
training_img/56161.jpg,Women,Personal Care,Brown,Eyes,Other,Women;Personal Care;Eyes;Kajal and Eyeliner;Brown;Spring;Casual,,,,
training_img/27624.jpg,Men,Apparel,Cream,Bottomwear,Shorts,Men;Apparel;Bottomwear;Shorts;Cream;Summer;Casual,,,,
training_img/51779.jpg,Women,Apparel,Green,Innerwear,Other,Women;Apparel;Innerwear;Briefs;Green;Summer;Casual,,,,
training_img/4702.jpg,Unisex,Accessories,Black,Watches,Other,Unisex;Accessories;Watches;Watches;Black;Winter;Sports,,,,
training_img/57921.jpg,Men,Accessories,Black,Socks,Other,Men;Accessories;Socks;Socks;Black;Summer;Casual,,,,
training_img/47162.jpg,Men,Accessories,Brown,Belts,Other,Men;Accessories;Belts;Belts;Brown;Summer;Casual,,,,
training_img/22075.jpg,Women,Apparel,Off White,Topwear,Other,Women;Apparel;Topwear;Kurtas;Off White;Fall;Ethnic,,,,
training_img/6418.jpg,Men,Footwear,Grey,Flip Flops,Other,Men;Footwear;Flip Flops;Flip Flops;Grey;Summer;Casual,,,,
training_img/59220.jpg,Women,Accessories,Gold,Watches,Other,Women;Accessories;Watches;Watches;Gold;Winter;Casual,,,,
training_img/11115.jpg,Men,Apparel,Purple,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Purple;Fall;Formal,,,,
training_img/4162.jpg,Women,Apparel,Green,Topwear,Other,Women;Apparel;Topwear;Tshirts;Green;Summer;Casual,,,,
training_img/25603.jpg,Men,Accessories,Black,Watches,Other,Men;Accessories;Watches;Watches;Black;Winter;Casual,,,,
training_img/28358.jpg,Men,Accessories,Black,Eyewear,Other,Men;Accessories;Eyewear;Sunglasses;Black;Winter;Casual,,,,
training_img/15319.jpg,Men,Apparel,Navy Blue,Topwear,"Coats, Jackets & Truckers",Men;Apparel;Topwear;Jackets;Navy Blue;Fall;Casual,,,,
training_img/50992.jpg,Women,Apparel,Beige,Loungewear and Nightwear,Other,Women;Apparel;Loungewear and Nightwear;Nightdress;Beige;Summer;Casual,,,,
training_img/12520.jpg,Men,Footwear,Black,Shoes,Other,Men;Footwear;Shoes;Casual Shoes;Black;Winter;Casual,,,,
training_img/58294.jpg,Men,Accessories,Black,Socks,Other,Men;Accessories;Socks;Socks;Black;Summer;Sports,,,,
training_img/4223.jpg,Men,Apparel,Green,Topwear,Other,Men;Apparel;Topwear;Tshirts;Green;Summer;Casual,,,,
training_img/39180.jpg,Women,Apparel,Black,Topwear,Other,Women;Apparel;Topwear;Kurtas;Black;Summer;Ethnic,,,,
training_img/54320.jpg,Women,Apparel,Pink,Innerwear,Other,Women;Apparel;Innerwear;Briefs;Pink;Summer;Casual,,,,
training_img/13301.jpg,Men,Apparel,Beige,Bottomwear,Shorts,Men;Apparel;Bottomwear;Shorts;Beige;Fall;Casual,,,,
training_img/37099.jpg,Men,Apparel,Green,Topwear,Other,Men;Apparel;Topwear;Tshirts;Green;Summer;Casual,,,,
training_img/17223.jpg,Women,Accessories,Black,Eyewear,Other,Women;Accessories;Eyewear;Sunglasses;Black;Winter;Casual,,,,
training_img/34507.jpg,Men,Footwear,Brown,Shoes,Other,Men;Footwear;Shoes;Formal Shoes;Brown;Summer;Formal,,,,
training_img/18998.jpg,Unisex,Accessories,Black,Scarves,Other,Unisex;Accessories;Scarves;Scarves;Black;Fall;Casual,,,,
training_img/9425.jpg,Men,Apparel,Purple,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Purple;Fall;Formal,,,,
training_img/17746.jpg,Men,Footwear,White,Shoes,Other,Men;Footwear;Shoes;Sports Shoes;White;Fall;Sports,,,,
training_img/7822.jpg,Women,Footwear,Grey,Shoes,Other,Women;Footwear;Shoes;Casual Shoes;Grey;Fall;Casual,,,,
training_img/40029.jpg,Men,Apparel,Blue,Topwear,Other,Men;Apparel;Topwear;Tshirts;Blue;Summer;Casual,,,,
training_img/20946.jpg,Men,Footwear,Blue,Flip Flops,Other,Men;Footwear;Flip Flops;Flip Flops;Blue;Fall;Casual,,,,
training_img/13460.jpg,Men,Apparel,Green,Topwear,"Shirts, TShirts & Tops",Men;Apparel;Topwear;Shirts;Green;Summer;Casual,,,,
